Export mixte par bloc (séparations-données-durées);;;;;
Du 27/02/2025 06:00 au 28/02/2025 06:00;;;;;
Type machine : MTI PF_SOLYSTIC TAE;;;;;
;;;;;
;;;;;
N°bloc;;;;;
66441740634196;A50;1;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;A51;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;A52;0;69_ST PRIEST PIC_LOT 360;TRI DEFINITIF;INDETERMINE
66441740634196;A53;1;69_ST PRIEST PIC_261;TRI DEFINITIF;INDETERMINE
66441740634196;A54;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;A55;0;45_LOIRET PIC_LOT LDMAIN 340;TRI DEFINITIF;INDETERMINE
66441740634196;A56;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;A57;0;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;A58;0;34_LANGUEDOC PIC_360 LDMAIN;TRI DEFINITIF;INDETERMINE
66441740634196;A59;0;60_ROYE PIC_360 LDMAIN;TRI DEFINITIF;INDETERMINE
66441740634196;A60;0;31_MIDI-PYRENEES PIC_lot LDMAIN;TRI DEFINITIF;INDETERMINE
66441740634196;A61;0;51_MEUSE CHAMP. ARD PI_LENDEMAIN;TRI DEFINITIF;INDETERMINE
66441740634196;A62;1;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;A63;1;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;A64;2;INDETERMINE;A RECYCLER;INDETERMINE
66441740634196;B01;1747;A RECYCLER;A RECYCLER;INDETERMINE
66441740634196;B02;81;TRI MANUEL;REJETS MANUELS;INDETERMINE
66441740634196;B03;1;44_TRI MANUEL OS_---;REJETS MANUELS;INDETERMINE
66441740634196;B04;664;REPRISE VERS 1-78001;A RETRIER;INDETERMINE
66441740634196;B05;3621;REPRISE VERS 1-78001;A RETRIER;INDETERMINE
66441740634196;B06;21;35_RENNES ARMORIQUE PIC_240;TRI DEFINITIF;INDETERMINE
66441740634196;B07;9;35_RENNES ARMORIQUE PIC_241;TRI DEFINITIF;INDETERMINE
66441740634196;B08;0;35_RENNES ARMORIQUE PIC_241;TRI DEFINITIF;INDETERMINE
66441740634196;B09;0;44938_A TAXE_Test NO GLUE TAE 33;A RECYCLER;INDETERMINE
66441740634196;B10;99;44_TRI MANUEL RFX_--;REJETS MANUELS;INDETERMINE
66441740634196;B11;4662;REPRISE VERS 1-74901;A RETRIER;INDETERMINE
66441740634196;B12;5;75_PARIS NORD PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B13;37;78_BOIS D ARCY PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B14;20;94_PARIS SUD PIC_240;TRI DEFINITIF;INDETERMINE
66441740634196;B15;17;91_PARIS SUD PIC_241;TRI DEFINITIF;INDETERMINE
66441740634196;B16;8;75_PARIS SUD PIC_242;TRI DEFINITIF;INDETERMINE
66441740634196;B17;0;97_PARIS SUD PIC_246;TRI DEFINITIF;INDETERMINE
66441740634196;B18;1;57_LORRAINE PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B19;0;00_REPRISE VERS 61_CHOL-CHOLETAI;A RETRIER;INDETERMINE
66441740634196;B20;13;67_STRASBOURG EUROP PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B21;1;67_STRASBOU_Lot LDMAIN 360 reste;TRI DEFINITIF;INDETERMINE
66441740634196;B22;13;83_TOULON PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B23;8;21_DIJON LONGVIC PIC_240-  ;TRI DEFINITIF;INDETERMINE
66441740634196;B24;0;21_DIJON LON_340 LOT LDMAIN GENE;TRI DEFINITIF;INDETERMINE
66441740634196;B25;723;REPRISE VERS 1-78401;A RETRIER;INDETERMINE
66441740634196;B26;3197;REPRISE VERS 1-78401;A RETRIER;INDETERMINE
66441740634196;B27;20;77_LOGNES PIC_240;TRI DEFINITIF;INDETERMINE
66441740634196;B28;1;77_LOGNES PIC_Lot LDMAIN;TRI DEFINITIF;INDETERMINE
66441740634196;B29;6;63_AUVERGNE PIC_260;TRI DEFINITIF;INDETERMINE
66441740634196;B30;0;03_AUVERGNE PIC_lot LDMAIN 341;TRI DEFINITIF;INDETERMINE
66441740634196;B31;766;00_LENDEMAIN_-1;A RETRIER;INDETERMINE
