Export mixte par bloc (séparations-données-durées);;;;;
Du 27/02/2025 06:00 au 28/02/2025 06:00;;;;;
Type machine : MTI PF_SOLYSTIC TAE;;;;;
;;;;;
;;;;;
N°bloc;;;;;
6,64417E+13;A46;2;37_VAL DE LOIRE PI_Lot Lendemain;TRI DEFINITIF;INDETERMINE
6,64417E+13;A47;1;INDETERMINE;A RECYCLER;INDETERMINE
6,64417E+13;A48;1;38_ISERE PIC_360 LENDEMAIN;TRI DEFINITIF;INDETERMINE
6,64417E+13;A49;0;INDETERMINE;A RECYCLER;INDETERMINE
6,64417E+13;A50;1;INDETERMINE;A RECYCLER;INDETERMINE
6,64417E+13;A51;0;INDETERMINE;A RECYCLER;INDETERMINE
6,64417E+13;A52;0;69_ST PRIEST PIC_LOT 360;TRI DEFINITIF;INDETERMINE
6,64417E+13;A53;1;69_ST PRIEST PIC_261;TRI DEFINITIF;INDETERMINE
6,64417E+13;A54;0;INDETERMINE;A RECYCLER;INDETERMINE
6,64417E+13;A55;0;45_LOIRET PIC_LOT LDMAIN 340;TRI DEFINITIF;INDETERMINE
6,64417E+13;A56;0;INDETERMINE;A RECYCLER;INDETERMINE
6,64417E+13;A57;0;INDETERMINE;A RECYCLER;INDETERMINE
6,64417E+13;A58;0;34_LANGUEDOC PIC_360 LDMAIN;TRI DEFINITIF;INDETERMINE
6,64417E+13;A59;0;60_ROYE PIC_360 LDMAIN;TRI DEFINITIF;INDETERMINE
6,64417E+13;A60;0;31_MIDI-PYRENEES PIC_lot LDMAIN;TRI DEFINITIF;INDETERMINE
6,64417E+13;A61;0;51_MEUSE CHAMP. ARD PI_LENDEMAIN;TRI DEFINITIF;INDETERMINE
6,64417E+13;A62;1;INDETERMINE;A RECYCLER;INDETERMINE
6,64417E+13;A63;1;INDETERMINE;A RECYCLER;INDETERMINE
6,64417E+13;A64;2;INDETERMINE;A RECYCLER;INDETERMINE
6,64417E+13;B01;1747;A RECYCLER;A RECYCLER;INDETERMINE
6,64417E+13;B02;81;TRI MANUEL;REJETS MANUELS;INDETERMINE
6,64417E+13;B03;1;44_TRI MANUEL OS_---;REJETS MANUELS;INDETERMINE
6,64417E+13;B04;664;REPRISE VERS 1-78001;A RETRIER;INDETERMINE
6,64417E+13;B05;3621;REPRISE VERS 1-78001;A RETRIER;INDETERMINE
6,64417E+13;B06;21;35_RENNES ARMORIQUE PIC_240;TRI DEFINITIF;INDETERMINE
6,64417E+13;B07;9;35_RENNES ARMORIQUE PIC_241;TRI DEFINITIF;INDETERMINE
6,64417E+13;B08;0;35_RENNES ARMORIQUE PIC_241;TRI DEFINITIF;INDETERMINE
